,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,solnechnyy,0,RU,1539195801,88,50.72,136.64,30.29,3.71
1,avarua,75,CK,1539194400,73,-21.21,-159.78,73.4,8.05
2,coihueco,0,CL,1539190800,59,-36.63,-71.83,60.8,12.75
3,fereydun kenar,0,IR,1539190800,88,36.69,52.52,64.4,2.24
4,maniitsoq,0,GL,1539195802,100,65.42,-52.9,27.41,4.61
5,jogindarnagar,0,IN,1539195802,76,31.98,76.77,51.71,2.93
6,brae,12,GB,1539193800,87,60.4,-1.35,53.6,14.99
7,puerto ayora,20,EC,1539190800,57,-0.74,-90.35,78.8,17.22
8,bredasdorp,8,ZA,1539194400,88,-34.53,20.04,64.4,4.7
9,ushuaia,40,AR,1539190800,65,-54.81,-68.31,48.2,27.51
10,abu kamal,100,SY,1539195804,30,34.45,40.92,79.79,5.17
11,mataura,20,NZ,1539195804,86,-46.19,168.86,29.3,2.93
12,kodiak,90,US,1539193980,71,39.95,-94.76,53.06,14.99
13,touros,0,BR,1539195805,62,-5.2,-35.46,85.19,19.15
14,lorengau,68,PG,1539195805,100,-2.02,147.27,82.94,7.4
15,port elizabeth,20,US,1539194160,67,39.31,-74.98,82.04,5.82
16,east london,0,ZA,1539194400,87,-33.02,27.91,60.8,3.36
17,castro,20,CL,1539195806,69,-42.48,-73.76,52.16,7.29
18,lebu,40,ET,1539190800,41,8.96,38.73,60.8,9.17
19,cherskiy,64,RU,1539195807,100,68.75,161.3,22.91,2.93
20,thompson,20,CA,1539194400,77,55.74,-97.86,32.0,4.7
21,rikitea,44,PF,1539195801,94,-23.12,-134.97,74.93,18.48
22,hambantota,80,LK,1539195808,100,6.12,81.12,78.53,11.43
23,adrar,75,DZ,1539194400,34,27.87,-0.29,80.6,12.75
24,matara,0,PE,1539190800,51,-13.74,-72.9,60.8,11.41
25,albany,40,US,1539194040,56,42.65,-73.75,82.4,11.41
26,busselton,68,AU,1539195809,92,-33.64,115.35,64.94,12.44
27,reguengos de monsaraz,40,PT,1539194400,56,38.42,-7.53,71.6,8.05
28,fairbanks,75,US,1539194160,17,64.84,-147.72,35.96,5.82
29,sao joao da barra,0,BR,1539190800,48,-21.64,-41.05,87.8,18.34
30,cape town,75,ZA,1539190800,82,-33.93,18.42,64.4,19.46
31,arraial do cabo,0,BR,1539190800,52,-22.97,-42.02,91.4,11.41
32,develi,40,TR,1539193800,62,38.39,35.49,57.2,2.26
33,pevek,0,RU,1539195811,100,69.7,170.27,33.44,13.33
34,nicoya,40,CR,1539190800,74,10.15,-85.45,84.2,11.41
35,lakselv,20,NO,1539193800,69,70.05,24.96,37.4,26.4
36,carnarvon,32,ZA,1539195812,15,-30.97,22.13,74.21,7.85
37,clyde river,75,CA,1539190800,78,70.47,-68.59,14.0,8.05
38,bluff,68,AU,1539195812,43,-23.58,149.07,78.26,8.41
39,punta arenas,0,CL,1539192900,83,-53.16,-70.91,51.8,35.57
40,ribeira grande,40,PT,1539194400,82,38.52,-28.7,60.8,13.87
41,vila velha,0,BR,1539194400,55,-3.71,-38.6,86.0,19.46
42,haifa,20,IL,1539190200,69,32.82,35.0,78.8,9.17
43,timra,40,SE,1539193800,81,62.49,17.33,44.6,5.82
44,provideniya,80,RU,1539195814,100,64.42,-173.23,44.33,9.42
45,bambous virieux,40,MU,1539190800,69,-20.34,57.76,73.4,19.46
46,road town,40,VG,1539190800,59,18.42,-64.62,89.6,8.05
47,yellowknife,75,CA,1539194400,74,62.45,-114.38,33.8,9.17
48,lakatoro,64,VU,1539195815,97,-16.11,167.42,76.64,8.41
49,opuwo,12,NA,1539195815,26,-18.06,13.84,74.21,3.6
50,port alfred,64,ZA,1539195815,95,-33.59,26.89,67.46,9.08
51,torbay,75,CA,1539194400,93,47.66,-52.73,48.2,18.34
52,nome,1,US,1539194100,50,30.04,-94.42,86.0,12.75
53,the valley,75,AI,1539194400,70,18.22,-63.06,87.8,10.29
54,qaanaaq,80,GL,1539195816,100,77.48,-69.36,19.49,9.64
55,hermanus,48,ZA,1539195571,82,-34.42,19.24,60.44,3.15
56,santa teresa,40,VE,1539190800,58,10.26,-66.69,86.0,2.71
57,jamestown,0,AU,1539195818,83,-33.21,138.6,44.24,6.51
58,dolores,0,AR,1539195818,47,-36.31,-57.68,62.96,14.45
59,khatanga,68,RU,1539195819,94,71.98,102.47,28.94,2.37
60,taoudenni,56,ML,1539195819,21,22.68,-3.98,92.48,11.88
61,sola,0,NO,1539193800,76,58.89,5.65,57.2,6.93
62,mount isa,8,AU,1539194400,31,-20.73,139.49,77.0,8.05
63,upernavik,64,GL,1539195820,100,72.79,-56.15,28.04,9.19
64,pimentel,64,BR,1539195821,51,-3.7,-45.5,92.12,5.95
65,atherton,0,GB,1539193800,56,53.52,-2.49,68.0,5.82
66,georgetown,40,GY,1539190800,52,6.8,-58.16,93.2,11.41
67,black river,20,JM,1539194400,66,18.03,-77.85,87.8,17.22
68,dikson,88,RU,1539195822,100,73.51,80.55,36.23,24.85
69,saldanha,24,PT,1539195823,56,41.42,-6.55,63.23,12.1
70,vaini,32,IN,1539195823,93,15.34,74.49,69.98,2.15
71,esperance,20,TT,1539194400,74,10.24,-61.45,86.0,12.75
72,inhambane,20,MZ,1539190800,88,-23.87,35.38,77.0,3.36
73,talnakh,44,RU,1539195573,100,69.49,88.39,23.09,3.94
74,la ronge,40,CA,1539194400,74,55.1,-105.3,33.8,4.7
75,hilo,20,US,1539194160,64,19.71,-155.08,75.02,5.82
76,vila franca do campo,20,PT,1539194400,59,37.72,-25.43,64.4,13.87
77,umm lajj,56,SA,1539195825,88,25.02,37.27,81.5,7.96
78,kudat,75,MY,1539194400,83,6.89,116.84,84.2,4.7
79,mangai,20,CD,1539195826,86,-4.07,19.59,77.0,2.15
80,golden,75,CA,1539194400,56,51.3,-116.96,42.8,1.92
81,halifax,90,CA,1539194400,76,44.65,-63.58,57.2,12.75
82,hithadhoo,44,MV,1539195827,100,-0.6,73.08,82.22,11.65
83,kindu,68,CD,1539195827,98,-2.95,25.92,71.51,2.37
84,alofi,68,NU,1539194400,94,-19.06,-169.92,75.2,8.05
85,faanui,0,PF,1539195827,99,-16.48,-151.75,80.06,6.51
86,atuona,8,PF,1539195828,100,-9.8,-139.03,80.24,15.12
87,kapaa,20,US,1539194160,74,22.08,-159.32,78.98,16.11
88,narasannapeta,92,IN,1539195828,98,18.42,84.04,74.21,15.68
89,richards bay,0,ZA,1539195829,53,-28.77,32.06,78.08,12.77
90,cabo san lucas,40,MX,1539189960,69,22.89,-109.91,82.4,3.83
91,haverfordwest,48,GB,1539190200,68,51.8,-4.97,68.0,12.75
92,laguna,5,MX,1539193320,37,27.52,-110.01,84.2,5.82
93,buala,76,SB,1539195829,88,-8.15,159.59,82.4,7.63
94,igrim,92,RU,1539195830,99,63.19,64.42,35.33,9.98
95,chaman,0,AF,1539195830,76,30.92,66.46,37.04,2.59
96,san patricio,92,PY,1539195831,93,-26.98,-56.83,73.4,6.17
97,strelka,92,RU,1539195831,64,58.08,93.03,43.7,7.63
